<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;220521;000000;62.4031;62.4031;62.4031;62.4031;0
USDCB;D;220522;000000;58.8862;58.8862;58.8862;58.8862;0
USDCB;D;220525;000000;58.2087;58.2087;58.2087;58.2087;0
USDCB;D;220526;000000;56.969;56.969;56.969;56.969;0
USDCB;D;220527;000000;56.2996;56.2996;56.2996;56.2996;0
USDCB;D;220528;000000;62.0495;62.0495;62.0495;62.0495;0
USDCB;D;220529;000000;66.4029;66.4029;66.4029;66.4029;0
USDCB;D;220601;000000;63.0975;63.0975;63.0975;63.0975;0
USDCB;D;220602;000000;61.6069;61.6069;61.6069;61.6069;0
USDCB;D;220603;000000;61.4733;61.4733;61.4733;61.4733;0
USDCB;D;220604;000000;61.575;61.575;61.575;61.575;0
USDCB;D;220605;000000;61.9659;61.9659;61.9659;61.9659;0
USDCB;D;220608;000000;61.1094;61.1094;61.1094;61.1094;0
USDCB;D;220609;000000;60.9565;60.9565;60.9565;60.9565;0
USDCB;D;220610;000000;60.2282;60.2282;60.2282;60.2282;0
USDCB;D;220611;000000;58.3895;58.3895;58.3895;58.3895;0
USDCB;D;220612;000000;57.778;57.778;57.778;57.778;0
USDCB;D;220616;000000;57.0926;57.0926;57.0926;57.0926;0
USDCB;D;220617;000000;56.6624;56.6624;56.6624;56.6624;0
USDCB;D;220618;000000;56.8691;56.8691;56.8691;56.8691;0
USDCB;D;220619;000000;56.7101;56.7101;56.7101;56.7101;0
USDCB;D;220622;000000;56.1727;56.1727;56.1727;56.1727;0
USDCB;D;220623;000000;54.7081;54.7081;54.7081;54.7081;0
USDCB;D;220624;000000;53.2788;53.2788;53.2788;53.2788;0
USDCB;D;220625;000000;53.3578;53.3578;53.3578;53.3578;0
USDCB;D;220626;000000;53.3234;53.3234;53.3234;53.3234;0
USDCB;D;220629;000000;53.3641;53.3641;53.3641;53.3641;0
USDCB;D;220630;000000;52.9699;52.9699;52.9699;52.9699;0
USDCB;D;220701;000000;51.158;51.158;51.158;51.158;0
USDCB;D;220702;000000;52.5123;52.5123;52.5123;52.5123;0
USDCB;D;220703;000000;53.7676;53.7676;53.7676;53.7676;0
USDCB;D;220706;000000;55.0858;55.0858;55.0858;55.0858;0
USDCB;D;220707;000000;58.5118;58.5118;58.5118;58.5118;0
USDCB;D;220708;000000;62.911;62.911;62.911;62.911;0
USDCB;D;220709;000000;63.1427;63.1427;63.1427;63.1427;0
USDCB;D;220710;000000;61.2664;61.2664;61.2664;61.2664;0
USDCB;D;220713;000000;61.3045;61.3045;61.3045;61.3045;0
USDCB;D;220714;000000;58.8541;58.8541;58.8541;58.8541;0
USDCB;D;220715;000000;58.5322;58.5322;58.5322;58.5322;0
USDCB;D;220716;000000;58.2568;58.2568;58.2568;58.2568;0
USDCB;D;220717;000000;57.8323;57.8323;57.8323;57.8323;0
USDCB;D;220720;000000;56.5616;56.5616;56.5616;56.5616;0
USDCB;D;220721;000000;55.437;55.437;55.437;55.437;0
USDCB;D;220722;000000;54.8491;54.8491;54.8491;54.8491;0
USDCB;D;220723;000000;56.4783;56.4783;56.4783;56.4783;0
USDCB;D;220724;000000;57.3917;57.3917;57.3917;57.3917;0
USDCB;D;220727;000000;57.7821;57.7821;57.7821;57.7821;0
USDCB;D;220728;000000;58.6605;58.6605;58.6605;58.6605;0
USDCB;D;220729;000000;60.2198;60.2198;60.2198;60.2198;0
USDCB;D;220730;000000;60.2031;60.2031;60.2031;60.2031;0
USDCB;D;220731;000000;61.3101;61.3101;61.3101;61.3101;0
USDCB;D;220803;000000;62.0506;62.0506;62.0506;62.0506;0
USDCB;D;220804;000000;60.1595;60.1595;60.1595;60.1595;0
USDCB;D;220805;000000;60.2374;60.2374;60.2374;60.2374;0
USDCB;D;220806;000000;60.258;60.258;60.258;60.258;0
USDCB;D;220807;000000;60.3696;60.3696;60.3696;60.3696;0
USDCB;D;220810;000000;60.3164;60.3164;60.3164;60.3164;0
